Author ID,Author Name,Paper IDs
153139928,O. Braun,59be96fe78ddef6dc8d60dffbb3ec0dc56525b48
33086325,Jan Overbeck,59be96fe78ddef6dc8d60dffbb3ec0dc56525b48
89989764,Anjani K. Maurya,59be96fe78ddef6dc8d60dffbb3ec0dc56525b48
152286136,A. Neels,59be96fe78ddef6dc8d60dffbb3ec0dc56525b48
2202908,M. Calame,59be96fe78ddef6dc8d60dffbb3ec0dc56525b48
5205398,Susanne Schrof,b3b761e8990995e6a3ad548858ebadc4471240f0 79620ccf1992319f61e12c0264a0a6de19775cce
144525097,P. Varga,b3b761e8990995e6a3ad548858ebadc4471240f0 71f86f63df608c46d26654dc8f55e471f2dcaf41 79620ccf1992319f61e12c0264a0a6de19775cce ba72d192d9f97ac15cb80addbefb0eadf9fe648e
4198273,L. Galvis,b3b761e8990995e6a3ad548858ebadc4471240f0
3058537,K. Raum,b3b761e8990995e6a3ad548858ebadc4471240f0 f8c2eb6866be1ff28af8dafab5d88a20917d1471 71f86f63df608c46d26654dc8f55e471f2dcaf41 79620ccf1992319f61e12c0264a0a6de19775cce
5888016,A. Masic,b3b761e8990995e6a3ad548858ebadc4471240f0
36661418,W. Oliver,9657ee59d6153ff7b998b429d619839545202448
91518582,G. Pharr,9657ee59d6153ff7b998b429d619839545202448
3131285,S. Bernard,937a41191456629efe00597cccc3d480b47d32f2
3678443,Q. Grimal,937a41191456629efe00597cccc3d480b47d32f2 f8c2eb6866be1ff28af8dafab5d88a20917d1471 71f86f63df608c46d26654dc8f55e471f2dcaf41 e58af76db93c4d6bec95867ae5b7ee77fbc6afc1
50517013,P. Laugier,937a41191456629efe00597cccc3d480b47d32f2 f8c2eb6866be1ff28af8dafab5d88a20917d1471 e58af76db93c4d6bec95867ae5b7ee77fbc6afc1
14105036,Joost A J van der Rijt,253e373e88435e2b6d6569d123d8b5244279a539
5066464,K. O. van der Werf,253e373e88435e2b6d6569d123d8b5244279a539
4799798,M. Bennink,253e373e88435e2b6d6569d123d8b5244279a539
9805183,P. Dijkstra,253e373e88435e2b6d6569d123d8b5244279a539
143623366,J. Feijen,253e373e88435e2b6d6569d123d8b5244279a539
50009716,G. Franzoso,8701ddcbc7a956f73d81c588974ae23e2352c9dd
3485503,U. Wolfram,fb18768a144f7f4dd3ca48a8d76e6f5faaf55ad2 34df9f7b48dcbea0ecdc17ad303691b7d02795bd
49773640,Thomas G. Gross,34df9f7b48dcbea0ecdc17ad303691b7d02795bd 12a6cd79f8d476fb2263c6f578330b2d1e9c4f9f 1ccaf0094701414bcce6c046654e8fc5e44f2b45
144793101,H. Wilke,34df9f7b48dcbea0ecdc17ad303691b7d02795bd
46462461,André Gutiérrez Marty,29c879fd55e949fe34a7cad48e9b4758c7af88b3
2230987,P. Barbone,29c879fd55e949fe34a7cad48e9b4758c7af88b3
11049913,E. Morgan,29c879fd55e949fe34a7cad48e9b4758c7af88b3 a169125cebb03ba7d2bb7a6ffa25b4106fcdfc55 603a7759914ea695af6fbf373340e4a2e5d1c049
2082309574,D. Garcia,580650f41f6c9c617ec634a94bc7f7c559bda078
144639366,M. Charlebois,580650f41f6c9c617ec634a94bc7f7c559bda078
2472427,B. Helgason,0b01d812426bd13ce8d8bd9f762ba9f4dd10d428 9d85868d7cb5286ad044a190775f5121d6af9c5b
6138544,E. Perilli,0b01d812426bd13ce8d8bd9f762ba9f4dd10d428
9266668,E. Schileo,0b01d812426bd13ce8d8bd9f762ba9f4dd10d428 073ed527eee98929b52f2c53a063a60ae6158160
34907118,F. Taddei,0b01d812426bd13ce8d8bd9f762ba9f4dd10d428 073ed527eee98929b52f2c53a063a60ae6158160
6597016,S. Brynjólfsson,0b01d812426bd13ce8d8bd9f762ba9f4dd10d428
3011990,M. Viceconti,0b01d812426bd13ce8d8bd9f762ba9f4dd10d428
2109944312,Guoyu Yang,2301cd5dcdb4a9efbe39ee3c7833d9120e070c1a
1394373718,J. Kabel,2301cd5dcdb4a9efbe39ee3c7833d9120e070c1a
122216655,B. van Rietbergen,2301cd5dcdb4a9efbe39ee3c7833d9120e070c1a
145594122,A. Odgaard,2301cd5dcdb4a9efbe39ee3c7833d9120e070c1a
86902192,R. Huiskes,2301cd5dcdb4a9efbe39ee3c7833d9120e070c1a 5b3b9db380327b1f5a91d307102a3682d4f9d4e8
1455008456,Stephen C. Cown,2301cd5dcdb4a9efbe39ee3c7833d9120e070c1a
31937071,F. Sabet,ac7b39c07bdcd933f9801e741b1dead07fe23022
13260900,Ahmad Raeisi Najafi,ac7b39c07bdcd933f9801e741b1dead07fe23022
2833872,E. Hamed,ac7b39c07bdcd933f9801e741b1dead07fe23022 2487941be2c390f9b7980cd96c9d484b0da3972a
46343924,I. Jasiuk,ac7b39c07bdcd933f9801e741b1dead07fe23022 2487941be2c390f9b7980cd96c9d484b0da3972a
2423230,L. Breiman,8e0be569ea77b8cb29bb0e8b031887630fe7a96c
24425736,Hang Ping,a4cf7e25558c1b49579dea7ad9bf712f40ee9bba
5330875,W. Wagermaier,a4cf7e25558c1b49579dea7ad9bf712f40ee9bba 227e5a4a90c5c21069ddccf09a6302052b52d036 bbd0fe62a8a7196f1643bd83af1f04c4176be0f1
23248038,Nils Horbelt,a4cf7e25558c1b49579dea7ad9bf712f40ee9bba
2352614,E. Scoppola,a4cf7e25558c1b49579dea7ad9bf712f40ee9bba
2128662501,Chenghao Li,a4cf7e25558c1b49579dea7ad9bf712f40ee9bba
2120640337,Peter Werner,a4cf7e25558c1b49579dea7ad9bf712f40ee9bba
115254850,Z. Fu,a4cf7e25558c1b49579dea7ad9bf712f40ee9bba
4242742,P. Fratzl,a4cf7e25558c1b49579dea7ad9bf712f40ee9bba 227e5a4a90c5c21069ddccf09a6302052b52d036 97b5bbd4d8164a7157629e858c12040dd612cdf0
50290971,R. Goulet,dea8075cc7fa43811b84cff0fde8ee2cc42e78eb
3625263,S. Hollister,dea8075cc7fa43811b84cff0fde8ee2cc42e78eb
2918313,D. Burr,784bbb1bf40f2d003a13700fff0977e372ec11d9
152398506,E. Seeman,d5255aa2d8c36001a569f0e79dac3a1c335258af
1696132,P. Delmas,d5255aa2d8c36001a569f0e79dac3a1c335258af
6021593,M. Kerschnitzki,227e5a4a90c5c21069ddccf09a6302052b52d036 bbd0fe62a8a7196f1643bd83af1f04c4176be0f1
6314197,Philip Kollmannsberger,227e5a4a90c5c21069ddccf09a6302052b52d036 bbd0fe62a8a7196f1643bd83af1f04c4176be0f1
30147407,M. Burghammer,227e5a4a90c5c21069ddccf09a6302052b52d036
3211674,G. Duda,227e5a4a90c5c21069ddccf09a6302052b52d036
2755403,R. Weinkamer,227e5a4a90c5c21069ddccf09a6302052b52d036 bbd0fe62a8a7196f1643bd83af1f04c4176be0f1
2268879796,Gwendolen C. Reilly,d83ad588f659b4a5723e386b3bc439f0cf5689a6
2242448730,J. Currey,d83ad588f659b4a5723e386b3bc439f0cf5689a6
1796681,J. Nyman,040a0bb36045fe21fdcc8da1a1937de0615b9bd8
40266674,M. Reyes,040a0bb36045fe21fdcc8da1a1937de0615b9bd8
9293578,Xiaodun Wang,040a0bb36045fe21fdcc8da1a1937de0615b9bd8 afd7a72662189fc58fc1a736c9ee86a33908ed27
2118208439,Dan Wu,0c4b6dd2bdc9a5cfc525029423ccbbb8a6431b65
153402462,P. Isaksson,0c4b6dd2bdc9a5cfc525029423ccbbb8a6431b65
47404145,S. Ferguson,0c4b6dd2bdc9a5cfc525029423ccbbb8a6431b65 9d85868d7cb5286ad044a190775f5121d6af9c5b
2569260,C. Persson,0c4b6dd2bdc9a5cfc525029423ccbbb8a6431b65
32661031,P. R. Townsend,9ee52726ba738ce07b114f0b94e415876b59da60
2239293955,Robert M. Rose,9ee52726ba738ce07b114f0b94e415876b59da60
2239292635,E. Radin,9ee52726ba738ce07b114f0b94e415876b59da60
2688963,C. Hellmich,db0d7fa9a7e0c5b0ebedc1aaf108b723ff4ab514
1729391762,Niketa Ukaj,db0d7fa9a7e0c5b0ebedc1aaf108b723ff4ab514
116202223,B. Smeets,db0d7fa9a7e0c5b0ebedc1aaf108b723ff4ab514
117141054,H. Van Oosterwyck,db0d7fa9a7e0c5b0ebedc1aaf108b723ff4ab514
1712040,N. Filipovic,db0d7fa9a7e0c5b0ebedc1aaf108b723ff4ab514
1584350119,Luis Zelaya-Lainez,db0d7fa9a7e0c5b0ebedc1aaf108b723ff4ab514
103770142,Johannes Kalliauer,db0d7fa9a7e0c5b0ebedc1aaf108b723ff4ab514
21110655,S. Scheiner,db0d7fa9a7e0c5b0ebedc1aaf108b723ff4ab514
50530073,Wen Yang,d1d67ea5197642811dda06a4e8b40d5085b02884
20781843,M. Meyers,d1d67ea5197642811dda06a4e8b40d5085b02884
